idempresa;nombre_empresa;idunidad;nombreunidad;descripcionUnidad;Idproyecto;nombreProyecto;idCentrOp;nombreCentrOp
1;TEMPROAL;1;TEMPORAL;TEMPORAL;1;TEMPORAL;1;TEMPORAL
6;CONSORCIO PEAJES 2526;5;PEAJES Y BASCULAS;PEAJES Y BASCULAS;11;CONSORCIO PEAJES 2526;42;ADMINISTRACION
6;CONSORCIO PEAJES 2526;5;PEAJES Y BASCULAS;PEAJES Y BASCULAS;11;CONSORCIO PEAJES 2526;43;PEAJE AMOLADERO
6;CONSORCIO PEAJES 2526;5;PEAJES Y BASCULAS;PEAJES Y BASCULAS;11;CONSORCIO PEAJES 2526;44;PEAJE LA BALSA
6;CONSORCIO PEAJES 2526;5;PEAJES Y BASCULAS;PEAJES Y BASCULAS;11;CONSORCIO PEAJES 2526;45;PEAJE NUEVO SALTO
6;CONSORCIO PEAJES 2526;5;PEAJES Y BASCULAS;PEAJES Y BASCULAS;11;CONSORCIO PEAJES 2526;46;PEAJE PACHO
6;CONSORCIO PEAJES 2526;5;PEAJES Y BASCULAS;PEAJES Y BASCULAS;11;CONSORCIO PEAJES 2526;47;PEAJE SAN MIGUEL
7;PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;8;PEAJES Y BASCULAS;PEAJES Y BASCULAS;14;ACCENORTE;53;ACCENORTE ADMINISTRACION
7;PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;8;PEAJES Y BASCULAS;PEAJES Y BASCULAS;14;ACCENORTE;55;PEAJE ANDES
7;PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;8;PEAJES Y BASCULAS;PEAJES Y BASCULAS;14;ACCENORTE;56;PEAJE FUSCA
7;PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;8;PEAJES Y BASCULAS;PEAJES Y BASCULAS;14;ACCENORTE;57;PEAJE UNISABANA
7;PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;8;PEAJES Y BASCULAS;PEAJES Y BASCULAS;15;GICA;58;BASCULA CHICORAL
7;PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;8;PEAJES Y BASCULAS;PEAJES Y BASCULAS;15;GICA;59;BASCULA COCORA
