Nombre de empresa;UNIDAD DE NEGOCIO - AREA;Desc UN;Nombre Proyecto;Desc CO
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;PEAJE AMOLADERO
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;PEAJE LA BALSA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;PEAJE NUEVO SALTO
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;PEAJE PACHO
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;PEAJE SAN MIGUEL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;ACCENORTE;ACCENORTE ADMINISTRACION
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;BASCULA ALTAMIRA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;BASCULA CHICORAL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;GICA;BASCULA CHICORAL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;BASCULA COCORA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;GICA;BASCULA COCORA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;BASCULA GINEBRA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;BASCULA GINEBRA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;BASCULA GUALANDAY
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;GICA;BASCULA GUALANDAY
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;BASCULA LOS CAUCHOS NORTE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;BASCULA LOS CAUCHOS SUR
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;BASCULA MEDIA CANOA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;BASCULA SAN ROQUE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;VINUS;BASCULA SAN ROQUE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;BASCULA VILLA RICA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;BASCULA VILLA RICA
